Collection,Name,Description,Version,Barre,F1,F2,F3,F4,F5,F6
Intro,Ab,,,,-1,6,6,8,-1,-1
,Eb,,,,-1,6,8,8,-1,-1
,Bb,,,,6,8,8,-1,-1,-1
,Gb,,,,2,4,4,-1,-1,-1
,,,,,,,,,,
Verse,Bb,,,,6,8,8,-1,-1,-1
,,,,,,,,,,
Chorus,Ab5,,,,4,6,6,,,
,Bb5,,,,6,8,8,,,
,G5,,,,3,5,5,,,
,Eb5,,,,,6,8,8,,
,,,,,,,,,,
Bridge,G5,,,,3,5,5,,,
,Bb/Eb,,,,,6,8,7,6,6
,Dm7,,,,,5,7,5,6,5
,Cm7,,,,,3,5,3,4,3
,F,,,,,,3,5,6,5
,,,,,,,,,,
Instrumental,D7sus4,,,,,,0,2,1,3
,C,,,,,3,2,0,1,0
,D,,,,,,0,2,3,2
,Am7,,,,,0,2,0,1,0
,Bm7,,,2,,0,2,0,1,0
