Time,Cmd,value,Collection,Chord,Notes
,,,,,
,,,,,
1.1.1,TEMPO,97,,,
,TITLE,Living Forever,,,
,ARTIST,Genesis,,,
,DECAY,5%,,,
,COMMENT,Guitar part (basic) by Mike Rutherford,,,
,VARIATION,+-5%,,,
,STRUMVELOCITY,100%,,,Set to OFF to turn off. This makes v1-v6 ineffectual.
,INTERVAL,2,,,
,,,,,
5.1.0,ASD,,Intro,Ab,
>2.48,,,,Eb,
,,,,,
,ASU,,,Bb,
6.1.0,ASD,,,,
>2.48,,,,,
>2.72,X,,,,
7.1.0,ASD,,,Ab,
>2.48,,,,Eb,
8.1.0,,,,Ab,
>2.72,X,,,,
9.1.0,ASD,,,Ab,
>2.48,,,,Eb,
,,,,,
,ASU,,,Bb,
10.1.0,ASD,,,,
>2.48,,,,,
>2.72,X,,,,
11.1.0,ASD,,,Gb,
>2.48,X,,,,
,ASD,,,Eb,
>4.0,X,,,,
